"Store Address",Suburb,Products,Price,Caloire Info
"114-116 Wilson Street",Burnie,Big Mac,$6.75,2360kJ 
"114-116 Wilson Street",Burnie,Medium Big Mac Meal,$12.00,2360kJ 
"114-116 Wilson Street",Burnie,Small Big Mac Meal,$11.20,2360kJ 
"114-116 Wilson Street",Burnie,Large Big Mac Meal,$12.80,2360kJ 
"114-116 Wilson Street",Burnie, Latte,$4.20,473kJ 
"114-116 Wilson Street",Burnie,Medium Latté ,$4.90,687kJ 
"114-116 Wilson Street",Burnie,Large Latté ,$5.55,745kJ 
"114-116 Wilson Street",Burnie, Iced Mocha,$5.20,1090kJ 
"114-116 Wilson Street",Burnie,Medium Iced Mocha ,$5.85,1740kJ 
"114-116 Wilson Street",Burnie,Large Iced Mocha ,$6.45,2390kJ 
"114-116 Wilson Street",Burnie,OREO® McFlurry,$4.00,1380kJ 
"114-116 Wilson Street",Burnie,Sprite®,$3.40,378kJ 
"114-116 Wilson Street",Burnie,Medium Sprite®,$4.15,541kJ 
"114-116 Wilson Street",Burnie,Large Sprite®,$4.60,827kJ 
