Store Address,Suburb,Products,Price,Caloire Info
Cnr Cumberland Hwy & Viscount Place,Liverpool,Big Mac,$6.85,2360kJ 
Cnr Cumberland Hwy & Viscount Place,Liverpool,Medium Big Mac Meal,$11.75,2360kJ 
Cnr Cumberland Hwy & Viscount Place,Liverpool,Small Big Mac Meal,$10.95,2360kJ 
Cnr Cumberland Hwy & Viscount Place,Liverpool,Large Big Mac Meal,$12.55,2360kJ 
Cnr Cumberland Hwy & Viscount Place,Liverpool, Latte,$4.15,473kJ 
Cnr Cumberland Hwy & Viscount Place,Liverpool,Medium Latté ,$4.75,687kJ 
Cnr Cumberland Hwy & Viscount Place,Liverpool,Large Latté ,$5.20,745kJ 
Cnr Cumberland Hwy & Viscount Place,Liverpool, Iced Mocha,$4.90,1090kJ 
Cnr Cumberland Hwy & Viscount Place,Liverpool,Medium Iced Mocha ,$5.40,1740kJ 
Cnr Cumberland Hwy & Viscount Place,Liverpool,Large Iced Mocha ,$6.00,2390kJ 
Cnr Cumberland Hwy & Viscount Place,Liverpool,M&M'S® MINIS McFlurry,$4.00,1690kJ 
Cnr Cumberland Hwy & Viscount Place,Liverpool,Sprite® Zero Sugar,$3.20,8kJ 
Cnr Cumberland Hwy & Viscount Place,Liverpool,Medium Sprite® Zero Sugar,$4.00,12kJ 
Cnr Cumberland Hwy & Viscount Place,Liverpool,Large Sprite® Zero Sugar,$4.40,18kJ 
